Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,vocabItem,ANSWER
11,1765320518432,09/12/2025 22:48:38,1765320505149,-5,09/12/2025 17:48:25,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,5,4,1,Screen 1,advancementZone,continue_button,7548.4000000059605,,,0,,,,,,,,vocabItems,Bell,
12,1765320530586,09/12/2025 22:48:50,1765320517425,-5,09/12/2025 17:48:37,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,6,5,1,Screen 1,Zone1,response_text_entry,12248.20000000298,,an animal that lives in florida ,,,,,,,,,vocabItems,Alligator,
13,1765320530702,09/12/2025 22:48:50,1765320517428,-5,09/12/2025 17:48:37,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,6,5,1,Screen 1,advancementZone,continue_button,12248.20000000298,,,0,,,,,,,,vocabItems,Alligator,
14,1765320555643,09/12/2025 22:49:15,1765320542459,-5,09/12/2025 17:49:02,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,7,6,1,Screen 1,Zone1,response_text_entry,25019.90000000596,,hot outside,,,,,,,,,vocabItems,Summer,
15,1765320555761,09/12/2025 22:49:15,1765320542464,-5,09/12/2025 17:49:02,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,7,6,1,Screen 1,advancementZone,continue_button,25019.90000000596,,,0,,,,,,,,vocabItems,Summer,
16,1765320564424,09/12/2025 22:49:24,1765320551263,-5,09/12/2025 17:49:11,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,8,7,1,Screen 1,Zone1,response_text_entry,8776,,long period of time ,,,,,,,,,vocabItems,Decade,
17,1765320564556,09/12/2025 22:49:24,1765320551268,-5,09/12/2025 17:49:11,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,8,7,1,Screen 1,advancementZone,continue_button,8776,,,0,,,,,,,,vocabItems,Decade,
18,1765320575484,09/12/2025 22:49:35,1765320562324,-5,09/12/2025 17:49:22,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,9,8,1,Screen 1,Zone1,response_text_entry,11041.09999999404,,something that is done every year ,,,,,,,,,vocabItems,Tradition,
19,1765320575600,09/12/2025 22:49:35,1765320562326,-5,09/12/2025 17:49:22,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,9,8,1,Screen 1,advancementZone,continue_button,11041.09999999404,,,0,,,,,,,,vocabItems,Tradition,
20,1765320585138,09/12/2025 22:49:45,1765320571974,-5,09/12/2025 17:49:31,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,10,9,1,Screen 1,Zone1,response_text_entry,9636.90000000596,,make up something on the spot,,,,,,,,,vocabItems,Improvise,
21,1765320585255,09/12/2025 22:49:45,1765320571976,-5,09/12/2025 17:49:31,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,10,9,1,Screen 1,advancementZone,continue_button,9636.90000000596,,,0,,,,,,,,vocabItems,Improvise,
22,1765320592944,09/12/2025 22:49:52,1765320579782,-5,09/12/2025 17:49:39,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,11,10,1,Screen 1,Zone1,response_text_entry,7795.100000008941,,popular,,,,,,,,,vocabItems,Trend,
23,1765320593061,09/12/2025 22:49:53,1765320579787,-5,09/12/2025 17:49:39,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,11,10,1,Screen 1,advancementZone,continue_button,7795.100000008941,,,0,,,,,,,,vocabItems,Trend,
24,1765320596879,09/12/2025 22:49:56,1765320583714,-5,09/12/2025 17:49:43,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,12,11,1,Screen 1,Zone1,response_text_entry,3896.9000000059605,,X,,,,,,,,,vocabItems,Ruminate,
25,1765320597005,09/12/2025 22:49:57,1765320583718,-5,09/12/2025 17:49:43,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,12,11,1,Screen 1,advancementZone,continue_button,3896.9000000059605,,,0,,,,,,,,vocabItems,Ruminate,
26,1765320600914,09/12/2025 22:50:00,1765320587754,-5,09/12/2025 17:49:47,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,13,12,1,Screen 1,Zone1,response_text_entry,4000.5,,X,,,,,,,,,vocabItems,Extirpate,
27,1765320601047,09/12/2025 22:50:01,1765320587759,-5,09/12/2025 17:49:47,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,13,12,1,Screen 1,advancementZone,continue_button,4000.5,,,0,,,,,,,,vocabItems,Extirpate,
28,1765320604090,09/12/2025 22:50:04,1765320590927,-5,09/12/2025 17:49:50,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,14,13,1,Screen 1,Zone1,response_text_entry,3145.1000000089407,,X,,,,,,,,,vocabItems,Perfunctory,
29,1765320604196,09/12/2025 22:50:04,1765320590932,-5,09/12/2025 17:49:50,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,14,13,1,Screen 1,advancementZone,continue_button,3145.1000000089407,,,0,,,,,,,,vocabItems,Perfunctory,
30,1765320605359,09/12/2025 22:50:05,1765320592195,-5,09/12/2025 17:49:52,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,15,1,1,Screen 1,advancementZone,continue_button,1253.0999999940395,,,0,,,,,,,,vocabFinish,,
31,1765320605492,09/12/2025 22:50:05,1765320592203,-5,09/12/2025 17:49:52,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,,,END TASK,,,,,175443,,,,,,,,,,,,,
1,1765721281191,14/12/2025 14:08:01,1765721250953,-5,14/12/2025 09:07:30,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,,,,,,,,,
2,1765721282793,14/12/2025 14:08:02,1765721252582,-5,14/12/2025 09:07:32,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1617,,,0,,,,,,,,vocabInstructions,,
3,1765721300842,14/12/2025 14:08:20,1765721270635,-5,14/12/2025 09:07:50,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,advancementZone,continue_keyboard,18051,,,0,,,,,,,,vocabInstructions,,
4,1765721312717,14/12/2025 14:08:32,1765721282529,-5,14/12/2025 09:08:02,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,response_text_entry,11886,, A transportation vehicle,1,,,,,,,,vocabItems,Car,
5,1765721316412,14/12/2025 14:08:36,1765721286225,-5,14/12/2025 09:08:06,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone1,response_text_entry,3692,,A flying animal,1,,,,,,,,vocabItems,Bird,
6,1765721325461,14/12/2025 14:08:45,1765721295260,-5,14/12/2025 09:08:15,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,4,3,1,Screen 1,Zone1,response_text_entry,9031,,An animal that belongs to an individual,1,,,,,,,,vocabItems,Pet,
7,1765721337788,14/12/2025 14:08:57,1765721307394,-5,14/12/2025 09:08:27,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,5,4,1,Screen 1,Zone1,response_text_entry,12130,,A peice of machienery that makes a noise,1,,,,,,,,vocabItems,Bell,
8,1765721354517,14/12/2025 14:09:14,1765721324324,-5,14/12/2025 09:08:44,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,6,5,1,Screen 1,Zone1,response_text_entry,16927,,"An animal that lives in both the water and land, long, and scaly.",1,,,,,,,,vocabItems,Alligator,
9,1765721364385,14/12/2025 14:09:24,1765721334175,-5,14/12/2025 09:08:54,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,7,6,1,Screen 1,Zone1,response_text_entry,9842,,"One of the four seasons, the hottest of them.",1,,,,,,,,vocabItems,Summer,
10,1765721369268,14/12/2025 14:09:29,1765721339079,-5,14/12/2025 09:08:59,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,8,7,1,Screen 1,Zone1,response_text_entry,4900,,Every ten years.,1,,,,,,,,vocabItems,Decade,
11,1765721380860,14/12/2025 14:09:40,1765721350671,-5,14/12/2025 09:09:10,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,9,8,1,Screen 1,Zone1,response_text_entry,11587,,Something that has always been done a certain way.,1,,,,,,,,vocabItems,Tradition,
12,1765721386136,14/12/2025 14:09:46,1765721355948,-5,14/12/2025 09:09:15,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,10,9,1,Screen 1,Zone1,response_text_entry,5273,,To make up on the spot.,1,,,,,,,,vocabItems,Improvise,
13,1765721391423,14/12/2025 14:09:51,1765721361224,-5,14/12/2025 09:09:21,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,11,10,1,Screen 1,Zone1,response_text_entry,5272,,What is currently popular.,1,,,,,,,,vocabItems,Trend,
14,1765721399142,14/12/2025 14:09:59,1765721368946,-5,14/12/2025 09:09:28,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,12,11,1,Screen 1,Zone1,response_text_entry,7719,,To think about for a period of time.,1,,,,,,,,vocabItems,Ruminate,
15,1765721405570,14/12/2025 14:10:05,1765721375361,-5,14/12/2025 09:09:35,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,13,12,1,Screen 1,Zone1,response_text_entry,6411,,I don't know.,1,,,,,,,,vocabItems,Extirpate,
16,1765721409692,14/12/2025 14:10:09,1765721379491,-5,14/12/2025 09:09:39,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,14,13,1,Screen 1,Zone1,response_text_entry,4127,,To be on time.,1,,,,,,,,vocabItems,Perfunctory,
17,1765721411759,14/12/2025 14:10:11,1765721381564,-5,14/12/2025 09:09:41,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,15,1,1,Screen 1,advancementZone,continue_button,2071,,,0,,,,,,,,vocabFinish,,
18,1765721411903,14/12/2025 14:10:11,1765721381573,-5,14/12/2025 09:09:41,250842,10,task-ytla,,51392312,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 146.0,2048x1152,1997x1027,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,,,END TASK,,,,,130620,,,,,,,,,,,,,
1,1765669186264,13/12/2025 23:39:46,1765669186148,-7,13/12/2025 16:39:46,250842,10,task-ytla,,51389012,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,,,audio-Success,,,C,,attention_pass,,day1done,eligible,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,,,,,,,,,
2,1765669190690,13/12/2025 23:39:50,1765669190671,-7,13/12/2025 16:39:50,250842,10,task-ytla,,51389012,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,,,audio-Success,,,C,,attention_pass,,day1done,eligible,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4483.60000000149,,,0,,,,,,,,vocabInstructions,,
